ward_key,ward_id,ward_name,district,pred_baseline_trips,pred_gain_trips,delta_stops,delta_routes,investment_cost_units,roi_gain_per_cost
171,171,VASANTKUNJ,South,-0.4240263116947855,0.3859982832384702,28.761099836953704,236.66837065058272,2395.444806342781,0.00016113845838411434
180,180,DAKSHINPURI EXT.,South East,-0.5800725056824849,0.30355029593939326,7.559625609952713,61.815668320642544,625.7163088163782,0.00048512447520045
180,180,DAKSHINPURI EXT.,South East,-0.5800725056824849,0.30355029593939326,7.559625609952713,61.815668320642544,625.7163088163782,0.00048512447520045
181,181,KHANPUR,South,-0.39611475931977785,0.24344640014532237,13.250914439928476,86.07369976346857,873.9879120746141,0.0002785466443891278
182,182,AMBEDKAR NAGAR,South,-0.6288893415444963,0.19824609416535605,2.723906204822396,13.268198865564546,135.40589486046784,0.0014640876186976888
182,182,AMBEDKAR NAGAR,South,-0.6288893415444963,0.19824609416535605,2.723906204822396,13.268198865564546,135.40589486046784,0.0014640876186976888
184,184,PUSHP VIHAR,South,-0.3188684626098474,0.10123932067166469,0.6305961528354358,31.828772772214798,318.9183238749834,0.0003174459198243913
185,185,TUGHLAKABAD EXTN,South East,-0.19373898351347216,0.012453345420817524,0.6810054199189841,1.7753473544720424,18.43447896463941,0.0006755463739457837
185,185,TUGHLAKABAD EXTN,South East,-0.19373898351347216,0.012453345420817524,0.6810054199189841,1.7753473544720424,18.43447896463941,0.0006755463739457837
188,188,SANGAM VIHAR EAST,South East,-0.5084784709204182,0.397529437917268,29.98573492870061,183.96362447041906,1869.6219796328912,0.00021262556936515697
188,188,SANGAM VIHAR EAST,South East,-0.5084784709204182,0.397529437917268,29.98573492870061,183.96362447041906,1869.6219796328912,0.00021262556936515697
189,189,CHIRAG DELHI,South East,-0.3711319108533224,0.19619340571107563,1.3106348435769408,80.81109291342416,809.4215639778186,0.00024238717430094281
189,189,CHIRAG DELHI,South East,-0.3711319108533224,0.19619340571107563,1.3106348435769408,80.81109291342416,809.4215639778186,0.00024238717430094281
190,190,CHITRANJAN PARK,South East,-0.43390911953859473,0.2342786898144697,5.098528285220206,80.42882283040599,809.3867565892801,0.0002894520918546039
190,190,CHITRANJAN PARK,South East,-0.43390911953859473,0.2342786898144697,5.098528285220206,80.42882283040599,809.3867565892801,0.0002894520918546039
191,191,SHAPUR JAT,South East,-0.3101255150236358,0.1935827528240599,5.897274813829721,117.3871417285666,1179.7686920994956,0.00016408534496656235
192,192,GREATER KAILASH-I,South East,-0.479715297427407,0.35762472075202084,18.031598483640142,165.67817960605186,1674.8133945441587,0.0002135310846669838
192,192,GREATER KAILASH-I,South East,-0.479715297427407,0.35762472075202084,18.031598483640142,165.67817960605186,1674.8133945441587,0.0002135310846669838
193,193,SRI NIWASPURI,South East,-0.24390895507236024,0.13615001211009953,2.4497175286978274,86.47047073796872,867.1544249083852,0.00015700780414552664
193,193,SRI NIWASPURI,South East,-0.24390895507236024,0.13615001211009953,2.4497175286978274,86.47047073796872,867.1544249083852,0.00015700780414552664
194,194,EAST OF KAILASH,South East,-0.2117658965301087,0.052946707719499886,0.806494586625052,20.59314347649927,206.7379293516178,0.00025610543689441985
194,194,EAST OF KAILASH,South East,-0.2117658965301087,0.052946707719499886,0.806494586625052,20.59314347649927,206.7379293516178,0.00025610543689441985
195,195,GOVIND PURI,South East,-0.43083179589727255,0.07848613272363852,0.0,9.602573037209982,96.02573037209982,0.0008173448139231779
195,195,GOVIND PURI,South East,-0.43083179589727255,0.07848613272363852,0.0,9.602573037209982,96.02573037209982,0.0008173448139231779
196,196,KALKAJI,South East,-0.24440860159850072,0.12657926327216618,0.0,26.966254367328265,269.66254367328264,0.0004693987587132513
196,196,KALKAJI,South East,-0.24440860159850072,0.12657926327216618,0.0,26.966254367328265,269.66254367328264,0.0004693987587132513
197,197,TUGHLAKABAD,South East,-0.3518187828922686,0.3276639841707728,26.358513906909497,218.66283609679195,2212.986874874829,0.0001480641335431138
197,197,TUGHLAKABAD,South East,-0.3518187828922686,0.3276639841707728,26.358513906909497,218.66283609679195,2212.986874874829,0.0001480641335431138
198,198,PUL PEHLAD,South East,-0.47498000189101547,0.3148142930999861,16.253331351361975,97.0219852360409,986.4731837117711,0.0003191311211472828
198,198,PUL PEHLAD,South East,-0.47498000189101547,0.3148142930999861,16.253331351361975,97.0219852360409,986.4731837117711,0.0003191311211472828
199,199,TEKHAND,South East,-0.3037998999996925,0.1952866421244695,9.273753351708347,88.80686941820301,897.3424475337384,0.0002176277770665802
199,199,TEKHAND,South East,-0.3037998999996925,0.1952866421244695,9.273753351708347,88.80686941820301,897.3424475337384,0.0002176277770665802
200,200,HARKESH NAGAR,South East,-0.5308418659838352,0.341239469008343,13.177485579829748,95.94337696310404,972.6112552108701,0.0003508487766101459
200,200,HARKESH NAGAR,South East,-0.5308418659838352,0.341239469008343,13.177485579829748,95.94337696310404,972.6112552108701,0.0003508487766101459
203,203,BADAR PUR,South East,-0.5458319519150454,0.36013360606144895,14.444639614013363,114.20125039048729,1156.4571435188861,0.0003114111128799095
203,203,BADAR PUR,South East,-0.5458319519150454,0.36013360606144895,14.444639614013363,114.20125039048729,1156.4571435188861,0.0003114111128799095
206,206,OKHLA,South East,-0.45746370769104994,0.2895542856495321,11.720324831088135,151.64965082840422,1528.2168331151304,0.00018947199073780172
206,206,OKHLA,South East,-0.45746370769104994,0.2895542856495321,11.720324831088135,151.64965082840422,1528.2168331151304,0.00018947199073780172
88,88,QASABPURA,Central,-0.5379048563656856,0.14578691401920985,3.631734304686202,6.701259523443054,70.64432953911674,0.002063674678042233
89,89,PAHAR GANJ,Central,-0.24061130712140305,0.0,0.0,0.0,0.0,0.0
150,150,PUSA,Central,-0.2679600941112761,0.3531718838307631,43.298802387952605,262.6447627995359,2669.7464303833112,0.00013228667704592598
151,151,INDER PURI,New Delhi,-0.30912627376493407,0.08443086129938812,1.2958789884039472,10.06313424181619,101.92722140656583,0.0008283445789401358
152,152,NARAINA,New Delhi,-0.3690360636077582,0.18665898331009428,7.129176235371374,25.077952511952322,257.90870135489456,0.0007237405420165292
